Job-Titel,Stellenbeschreibung,Bewertung,Firmenname,Ort,Hauptsitz,Firmengröße,Gegründet,Rechtsform,Branche,Industriezweig,Umsatz,Konkurrenten,firmenname_txt,job_country,job_city,job_at_hq,company_age,python_yn,R_yn,spark,aws,excel,Sql,job_simp,desc_len,num_konkurrenten
Data Scientist,"What to expect

We are looking for an experienced Data Scientist to join our ambitious and growing Data Intelligence Team. In this role you will leverage your strong passion for understanding and modeling complex medical data to gain new insights and push the boundaries of software-supported medical procedures.

As a Data Scientist, you will
develop a deep understanding for medical data from multiple sources, including images, patient demographics, and treatment information
design, train and optimize algorithms to solve challenging data modeling tasks, thereby combining various data types in innovative ways
make use of state-of-the-art machine learning methods to extract information from big and diverse data sets
work together with clinical experts in order to identify relevant questions, challenge your findings and evaluate their impact on real-world medical environments
What you offer
Education in mathematics, physics, computer science or similar
Profound experience in modeling complex data, ideally in the medical field
Strong analytical, mathematical background and interest, allowing you to understand modern machine learning methods in all their details and making you eager to adapt and further develop these methods in your daily work
Ideally, experience in image processing
Strong background in using the Python ecosystem for efficient prototyping of your ideas, combined with a passion for and initial experience in (object-oriented) programming
Eagerness to be part of a high-skilled, dynamic team where your talent is both challenged and supported
Fluency in English, some knowledge of German (or willingness to learn) is a plus
What we offer
Centrally located, modern work spaces
30 days of vacation, plus 24.12. and 31.12.
Flexible working hours
Free gym courses with showers and changing rooms
Secure bicycle storage room
Unlimited coffee, tea and bottled water
Restaurant and coffee shop on-site
Regular after-work, team & company events
Sheltered terrace on the Bavarian Towers
International team of supportive colleagues
Comprehensive training and continuing education opportunities
Interested? Then we are looking forward to receiving your online application!

Contact person: Géraldine Endres",4.1,"Brainlab
4.1",München,"München, Germany",1.001 bis 5.000 Mitarbeiter,1989,Privatunternehmen,Dienstleistungen im Gesundheitswesen & Krankenhäuser,Gesundheitswesen,100 bis 500 Millionen € (EUR),-1,Brainlab, Germany,München,1,31,1,0,0,0,0,0,data scientist,2227,0
Data Scientist,"Data Scientist

Berlin, asap

Headquartered in San Diego (USA) and with offices in big major European metropolitan cities like London, Paris, Berlin, Munich, Milan, Eindhoven & Krakow, more than 300 employees around the globe are constantly working on Mapp Cloud to provide our customers cross-channel marketing insights continuously and reliably. Mapp Cloud brings customer acquisition and customer
engagement together in one simple marketing cloud infused with data intelligence. Our business is tech, but tech depends on people. As the people of Mapp, collegiality is in our DNA. Therefore, we are committed to build the best product along with a place of belonging. We work together, we win together and we proudly extend this to our customers.

What you will do:

To further our growth, we’re looking for a Data Scientist who will be responsible for the design, implementation and automation of new algorithms for predictive analytics and recommender systems for Mapp Intelligence which is designed to process more than 350 TB raw data and up to 60k requests/sec.
Understand and expand a thrilling tech stack for fully automated marketing
Analyze, improve, and design production ready Machine Learning model generators and feature extraction systems
Be responsible for the continuous optimization of data input and model output
Apply Data Mining, Predictive Analytics, Machine Learning, & and Big Data Technologies

The assets you bring to the team:

PhD or Master’s Degree in Mathematics, Statistics, Physics or Informatics
Commercial or industrial experience as Data Scientist or Mathematical Programmer
Professional experience in at least two relevant languages (Java, Scala, Python)
Deep knowledge of SQL and Big Data Technologies
Experience in mathematical programming (like Matlab, Python, R)
Independent, committed, pragmatic, but also a good team player
Fluent in English, German a plus

We offer:

Prospect: We are a continuously growing team with experts in the most future-oriented fields of customer intelligence. We are dealing with real big data scenarios and data from various business models and industries. Apart from interesting tasks we offer you considerable freedom for your ideas and perspectives for the development of your professional and management skills.
Team oriented atmosphere: Our culture embraces integrity, team work and innovation. Our employees value the friendly atmosphere that is the most powerful driver within our company.
Goodies: Individual trainings, company tickets, team events, table soccer, fresh fruits and a sunny roof terrace.
TechCulture: Work with experienced developers who share the ambition for well-written and clean code. Choose your hardware, OS and IDE. Bring in your own ideas, work with open source and have fun at product demos, hackathons and meetups.

Now that we've got your attention...

We look forward to receiving your application, including your salary expectations, in addition to your earliest possible starting date. If available, please provide a link to any additional online resources like a Linkedin profile, GitHub and/or Stack Overflow profile.

Apply Now

Mapp Digital US, LLC | 3655 Nobel Drive Suite 500 | 92122 San Diego, CA USA | www.mapp.com | careers@mapp.com",3.3,"Mapp Digital
3.3",Berlin,"San Diego, CA",201 bis 500 Mitarbeiter,2016,Privatunternehmen,Unternehmenssoftware & Netzwerklösungen,Informationstechnologie,Unbekannt / Nicht zutreffend,-1,Mapp Digital, CA,San Diego,0,4,1,0,0,0,0,1,data scientist,3251,0
Data Scientist,"Job Overview


Wargaming is looking to bring in a Data Scientist to our analytical team that analyzes financial indicators of the company, studies the behavior of players starting from web resources. We support and help various business units of the company in forecasting metrics, conducting tests and planning in-game activities.

Reports To


This role reports to the Director of BI

What will you do?
Develop and support predictive models for core KPI WG products;
Forecast income for in-game activities and their optimization;
Develop of methods for evaluating the effectiveness of marketing activities;
Do analytical research;
Prepare analytical reports in a simple form understandable to business people;
Develop specifications for the created models for further automation.
What are we looking for?
A bachelor's degree in computer science, mathematics, machine learning, AI or statistics;
Minimum 5 years of working experience in Data Science;
Experience with machine learning applications, and applied time series forecasting;
Experience working with structured and unstructured data;
Experience with programming languages Python/R;
Advanced knowledge of SQL;
English at least Intermediate level;
Ability to conduct analytical research and build analytical reports on them.
What we offer at Wargaming Berlin
Joining an international team of people passionate about gaming
Working in one of the main European hubs for mobile game development
Startup within a company with 20 years of experience in game development
Flexible working hours & work from home whenever needed
Public transportation, Lunch and Sport & Culture benefits
Free Gym membership
Travel and accident insurance (covers you at all times)
Mobile phone and Home internet
Soft drinks, coffee, snacks, random treats and office events/parties
Relocation support when needed
About Wargaming:


Wargaming is an award-winning online game developer and publisher headquartered in Nicosia, Cyprus. Delivering legendary games since 1998, Wargaming has grown to become one of the leaders in the free-to-play MMO gaming industry with 4500+ employees and more than 20 offices globally. Over 200 million players enjoy Wargaming's titles across all major gaming platforms, including the massively popular World of Tanks and World of Warships.

Working in our company means always having interesting challenges and gaining valuable experience while working with top-class experts.

Take your place among our passionate and experienced team and bring out the best in yourself at Wargaming!

Please see Wargaming Candidate Privacy Policy for details on how Wargaming uses your personal data.",3.8,"Wargaming CIS
3.8",Berlin,"Nicosia, Cyprus",1.001 bis 5.000 Mitarbeiter,1998,Privatunternehmen,Videospiele,Medien,Unbekannt / Nicht zutreffend,-1,Wargaming CIS, Cyprus,Nicosia,0,22,1,0,0,0,0,1,data scientist,2647,0
Data Scientist,"REE is redefining how mobility is designed, from the wheel up. If you have a passion for electric vehicle, big-data, analytics and machine learning Your place might be with us!
We are looking for a data scientist, to join our data analytics team, with a passion for getting real-world value out of collected data from our vehicle fleets around the world.
Responsibilities:
· Take ownership on vehicle sensor data output - Create tools, organize and analyze data to provide meaningful insights
· Create statistical analysis algorithms systems such as anomaly detection, optimization processes, and more
· Visualize and present data and insights, convey results and conclusions to clients and R&D team
· Research and extend the companys data from 3rd party sources from the automotive field


Requirements:
· Bachelors degree in computer science, software engineering or computer engineering.
· At least a 5-year experience in data science
· Work in the R&D division and collaborate with technical professionals (IT, Elec. Eng., Mech. Eng., SW Eng., etc.)
· Experience with analytical tools and data science toolkit R, Python, MATLAB, etc.
· Good understanding and experience with ML systems
· Experience with big data systems
· Advantage - experience with automotive data, vehicle dynamics and other metrics.

Nice to have
· hands-on approach Enjoy coding, prototyping, AND working on an electric vehicle system
· Advantage past work experience in the automotive industry


Website:
REE",5.0,"REE
5.0","Germany, DE","Tel Aviv-Yafo, Israel",51 bis 200 Mitarbeiter,2018,Privatunternehmen,Automobilindustrie,Fertigung,Unbekannt / Nicht zutreffend,-1,REE, Israel,Tel Aviv-Yafo,0,2,1,0,0,0,0,0,data scientist,1485,0
Data Scientist,"Im hiring a Data Scientist for a Computer Vision company in Berlin who specialises in Medical Images.

They have a large data set of image data and have built a product that will help medical practitioners to better asses how to treat a patient by using Computer Vision, their software has proven to help professionals make fast and more accurate diagnostics.

The product also stores all the relevant documentation based on the image it is shown.

You will join a small but highly talented team of 8 professionals including their CEO, Chief Medical Officer, 2 software engineers, 3 data scientists and 1 Researcher.

Currently looking for 1 Data Scientist and 1 Machine Learning Engineer immediately. If all goals are met, will be looking to hire and additional 5 Data Scientists in 2020.

Tasks
Grow and to add new you use cases.
Re-build and overhaul the current product
Requirements
Acting as a Full Stack Data Scientist and production algorithms
Using docker to connect and production algorithms
Building and developing annotation image pipelines
Programming with Python, adding use cases and using the Python tech stack
Working with lots of inferences on Google
EU Citizenship is Mandatory",5.0,"Alldus
5.0",Berlin,"Dublin, Ireland",1 bis 50 Mitarbeiter,-1,Privatunternehmen,-1,-1,Unbekannt / Nicht zutreffend,-1,Alldus, Ireland,Dublin,0,-1,1,0,0,0,0,0,data scientist,1195,0
Data Scientist,"Ihre Aufgaben
Sie erarbeiten im Dialog mit unseren Kunden innovative Lösungen zur anspruchsvollen Datenanalyse.
Sie entwickeln und integrieren explorative Analysen und Modelle zur Optimierung von Geschäftsprozessen.
Sie führen anspruchsvolle Beratungs- und Entwicklungsprojekte durch, bei denen Analytik und Informatik gewinnbringend kombiniert werden.

Ihre Fähigkeiten
Sehr guten Studienabschluss der Informatik, Mathematik, Physik oder vergleichbarer Studiengänge
Kenntnisse in mindestens einer analytischen Programmiersprache (z.B. R, Python, Matlab) sowie in mindestens einer universellen Programmiersprache (z.B. .NET, C#, Java, C)
Erfahrungen mit Data Mining-Software (z.B. Weka, Knime, Tensorflow, Scikit-learn) sind ein Plus
Ein weiteres Plus sind Erfahrungen mit aktuellen Cloud-Technologien oder dem Hadoop/Spark-Ökosystem
Ausgeprägte Dialogfähigkeit in Deutsch und Englisch – im Team und Kunden gegenüber
Neugierde und Bereitschaft zu gelegentlichen Reisen

Unser Angebot
Faktor „Mensch“: Profitieren Sie von einer gelebten Work-Life-Balance und engagierten Kollegen.
Spannende Projekte: Ihre Fähigkeiten und Ideen bringen Sie in vielfältigen Projekten unter Einsatz verschiedenster Technologien ein.
Konstante Fortbildung: Sie erhalten viel Raum zur Weiterbildung und zum Wissensaustausch.

Jetzt bewerben!


Senden Sie Ihre Unterlagen an:

bewerbung@analytical-software.de

Wir freuen uns auf Sie!",-1.0,HMS Analytical Software,Heidelberg,"Heidelberg, Germany",51 bis 200 Mitarbeiter,-1,Privatunternehmen,-1,-1,Unbekannt / Nicht zutreffend,-1,HMS Analytical Software, Germany,Heidelberg,1,-1,1,0,1,0,0,0,na,1411,0
Data Scientist,"Data Scientist (m/w/d)

Wenn du Muster in Daten findest, die andere übersehen und dich dafür genauso begeisterst wie wir, dann passt du perfekt zu uns! Wir gehören deutschlandweit zu den führenden Beratungshäusern und Lösungsanbietern für Business Intelligence, Big Data und Data Analytics. Was uns ausmacht? Wissenshungrige Kollegen mit geballtem Experten-Know-how, spannende Digitalisierungsprojekte auf neuesten Technologien sowie ein einzigartiger Team-Spirit. Wir begeistern unsere Kunden immer wieder aufs Neue – in Zukunft am liebsten mit dir!

Herzlich Willkommen bei ORAYLIS

Unsere Datenliebhaber und Herzblutberater realisieren exklusive Business Intelligence-, Data Analytics- und Artificial Intelligence-Lösungen – nicht von der Stange, sondern maßgeschneidert für die Bedürfnisse unserer Kunden. Dabei reicht unser Angebot von der Entwicklung der Datenstrategie über die Konzeption bis hin zur konkreten Umsetzung der Lösung. Mit einem kleinen Zweimannbetrieb hat 1999 alles angefangen. Bis heute sind wir inhabergeführt und durch flache Hierarchien geprägt. Bei uns erwartet dich eine besondere Unternehmenskultur mit offenen Türen, kurzen Entscheidungswegen und einem außergewöhnlichen Teamgeist. Und deswegen gehören wir zu den besten Arbeitgebern in Deutschland! Die Auszeichnung hierfür haben wir sowohl 2020 als auch 2019 durch das Great Place to Work®-Institut erhalten.

Wir haben tolle Aufgaben für dich

Als Data Scientist begleitest du unsere Kunden aktiv bei der Digitalisierung ihres Geschäfts. Basierend auf deiner Erfahrung gestaltest du dabei Use Cases gemeinsam mit unseren Kunden und entwickelst Lösungen im Bereich Predictive Analytics, Machine Learning und Künstliche Intelligenz. Im Detail wirst du bei uns…

unsere Kunden umfänglich bei der Auswahl und Ausgestaltung von Use Cases beraten
unseren Kunden eine geeignete Infrastruktur und Einführungsstrategie empfehlen
Machine Learning Modelle erstellen, überprüfen und Datenquellen hierfür anbinden
Prototypen erstellen, um Lösungsideen (Use Cases) zu bestätigen
Lösungen vom Prototyp zum produktiv erfolgreichen System treiben
das Management unseres Kunden durch aussagekräftige Präsentationen überzeugen und so Vertrauen schaffen
eng mit unseren Teams in den Bereichen Business Intelligence und Big Data zusammenarbeiten, um Ergebnisse direkt für die Endanwender nutzbar zu machen
Deshalb wirst du dich bei uns wohlfühlen

Auf dich warten spannende Projekte, namhafte Kunden und vielfältige Karrierechancen! Was uns von anderen unterscheidet? Deine Kollegen – Menschen, die dich bei deiner Arbeit jederzeit unterstützen und dir stets auf Augenhöhe begegnen. Das alles findest du bei uns – und noch vieles mehr:

Attraktives Vergütungsmodell
ORAYLIShare – Mitarbeiterbeteiligungsprogramm
Arbeit auf neuesten Technologien
Moderne technische Arbeitsausstattung
Home-Office-Modelle & flexible Arbeitszeit
Eigene Schulungseinrichtung
Frei konfigurierbarer Firmenwagen
Flache Hierarchien & eine offene Unternehmenskultur
Events, z. B. Teamabend, Sommerfest, BI-Stammtisch
Teamveranstaltung im Ausland
Büro Opi der regelmäßig kocht
Gesunde Snacks & frisches Obst
Bezuschussung von sportlichen Aktivitäten
Schickes Wohlfühlbüro mit Lounge- & Küchenbereich
Was wir uns von dir wünschen

Wenn du ein echter Datenliebhaber und überzeugter Teamplayer bist, dann bringst du die besten Voraussetzungen für uns mit. Schön wäre außerdem, wenn du…

eine Ausbildung im Bereich IT, Mathematik oder Statistik (Studium, Berufsausbildung oder vergleichbare Kenntnisse aus der Praxis) mitbringst
über mindestens ein Jahr Praxiserfahrung in R oder Python verfügst
dich in mindestens einem Machine-Learning-Toolkit wie z.B. R, scikit-learn, Spark MLlib oder Tensorflow zu Hause fühlst
ein Analytik-Gen und solide Kenntnisse in Statistik hast
mit Leichtigkeit Daten aus unterschiedlichen Datenquellen (relationale SQL-Datenbanken, Cloud Data Lake Storage, unstrukturierte Daten, XML, JSON) anbindest
die Bereitstellung von Machine Learning Modellen (z.B. als Webservice mit Docker) beherrschst
gut kommunizieren und andere überzeugen kannst
dich gut in Deutsch und Englisch verständigen kannst
Reisebereitschaft innerhalb Deutschlands mitbringst",4.9,"ORAYLIS GmbH Business Intelligence
4.9",Düsseldorf,"Düsseldorf, Germany",51 bis 200 Mitarbeiter,1999,Privatunternehmen,IT-Dienstleistungen,Informationstechnologie,Unbekannt / Nicht zutreffend,-1,ORAYLIS GmbH Business Intelligence, Germany,Düsseldorf,1,21,1,0,1,0,0,1,data scientist,4207,0
Data Scientist,"Responsibilities (include but not limited to the following)

Data collection and preparation
Design of end-to-end analytical solutions (predictive and prescriptive modeling)
Algorithm development and optimization
Data visualisation
Qualifications

Strong mathematical background (probability theory and mathematical statistics)
Experience in machine learning (boosting, neural networks)
Capability to solve auxiliary tasks (linux, docker, ssh, git, etc.)
Technologies: python, jupyter, numpy, pandas, sklearn, matplotlib, tensorflow",-1.0,Quantum Brains,Berlin,"Berlin, Germany",1 bis 50 Mitarbeiter,-1,Privatunternehmen,-1,-1,Unbekannt / Nicht zutreffend,-1,Quantum Brains, Germany,Berlin,1,-1,1,0,0,0,0,0,mle,532,0
Data Scientist,"Als Data Scientist freust du dich, je größer die Datenmengen ist. Du verstehst es Daten zu analysieren, Modelle zu trainieren und zu evaluieren. Damit legst du den Grundstock unserer KI Anwendungen.

Diese Aufgaben erwarten dich:
Du analysierst große Datensätze, entwickelst und evaluierst Modelle und findest Zusammenhänge und Muster
Du entwickelst maßgeschneiderte Software-Lösungen vom Prototyp bis hin zu integrierbaren Softwaremodulen
Du bist von der Konzeptionierung bis zur Inbetriebnahme an der Entwicklung beteiligt
Du hast kreative Ideen und bist an der Lösungsfindung maßgeblich beteiligt

Das bringst du mit:
Du hast einen Abschluss (M.Sc. oder Dr.) im Bereich Informatik oder Mathematik
Du hast Expertenkenntnisse in mindestens einem dieser Bereiche: Computer Vision, Natural Language Processing, Robotik oder Deep Learning
Du hast fundierte mathematische Kenntnisse vor allem in Machine Learning Ansätzen und statistischen Verfahren
Du hast Erfahrung in Data Science und Big Data
Du hast Programmierkenntnisse in Python, R, SAS oder Matlab
Du arbeitest gerne im Team und mit agilen Methoden

Das bringen wir mit:
Ein junges Unternehmen mit flachen Hierarchien und kurzen, direkten Entscheidungswegen
Flexible Arbeitszeiten und Mitarbeiterveranstaltungen
Eine lockere Atmosphäre und Spaß am Arbeiten
Eine Dachterrasse mit Lounge, die zum gemütlichen Grillen einlädt und ein Soccer-Lab gehören bei uns genauso zur Grundausstattung wie guter Kaffee, frisches Bio-Obst und top Hardware

Bitte sende uns deine Bewerbung per Email an career@justadd.ai.

JUST ADD AI behält sich vor, offensichtliche Massenbewerbungen, Bewerbungen ohne Anschreiben, sowie Bewerbungen ohne konkreten Stellen- und Firmenbezug unbeantwortet zu löschen. Bewerbungen werden in der Reihenfolge des Eingangs bearbeitet. Bitte beachten Sie, dass es aufgrund der hohen Bewerberzahlen derzeit zu einem zeitlichen Verzug von mehreren Wochen in der Bearbeitung kommt. Wir bitten daher um frühzeitige Bewerbung. Bewerbungen über Personalvermittlungen/Headhunter werden nicht akzeptiert. Durch Personalvermittlungen/Headhunter eingesandte Bewerbungen werden nicht vergütet/provisioniert.",-1.0,JUST ADD AI GmbH,Bremen,"Bremen, Germany",Unbekannt,-1,Privatunternehmen,-1,-1,Unbekannt / Nicht zutreffend,-1,JUST ADD AI GmbH, Germany,Bremen,1,-1,1,0,0,0,0,0,data scientist,2163,0
Data Scientist,"Location: Germany Salary: Negotiable
Sector: Manufacturing Type: Contract
Reference #: CR/072489_1594970673

Data Scientist - 6+ months - Germany - Start ASAP
For our international client in Germany we are looking for an experience Data Scientist.

Tasks:
Build and productizing machine learning models
Requirements:
Strong project experience as Data Scientist/Data Engineer
Strong in Python programming
Experience with tabular data and SQL
Experience in webapp technologies such as Bokeh, R Shiny and standard web communication protocols (e.g. REST APIs)
Preferred: Experience with dataiku
Preferred: Experience with interpretable machine learning
Nice to have: Experience with HR data
Project details:
Start: August
Duration: 6 months
Workload: 5 days per week (some remote work may be possible)
Location: Germany
Languages: Fluency in English, German language skills highly beneficial
Telephone interview slots with our client can be arranged at short notice with a decision immediately thereafter.
If you are interested in receiving further information about the role or can recommend a colleague or friend, please get in touch.

Apply for this job",3.9,"Red Experts in SAP
3.9",Deutschland,"London, United Kingdom",201 bis 500 Mitarbeiter,2000,Privatunternehmen,Beratung,Dienstleistungen,50 bis 100 Millionen € (EUR),-1,Red Experts in SAP, United Kingdom,London,0,20,1,0,0,0,0,1,data scientist,1152,0
